NOM;ADR1;CP;VILLE;TEL;FAX;TARIF1;TARIF2;TARIF3;TARIF_AUTRE;MICRO_ONDE;MICRO_ONDE_COLL;KITCHENETTE;FRIGO;CUISINE_COLL;WC_CHAMBRE;WC_PALIER;DOUCHE_CHAMBRE;DOUCHE_PALIER;ITINERAIRE;OBS
HOTEL CONFORT PARIS;3 rue Lagille;75018;PARIS;;01 40 25 02 00;29;14,5;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;"M�tro ligne 13 direction : Saint-Denis Universit� 
descendre � l'arret : Guy Moquet
Puis � 6 min � pieds";G�rant Mr CENGIZ comme pour les r�sidences CENGIZ
RESIDENCE AVENIR;88 rue de l'avenir;93240;STAINS;09 52 77 64 66;01 39 93 76 45;25;12,5;0;0;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"M�tro ligne 13  Saint Denis Universit� (terminus) et prendre bus 255 jusqu'� l'arr�t ""terminus pr�voyant"" la r�sidence se trouve � 100 m�tres.";"Pavillon avec une entr�e principale 2 chambres au RDC et deux studios au 1er 
2 chambres au RDVC partage toilette et cuisine  ensemble
M SERHIR : 06 02 13 97 94"
HOTEL ESPOIR ASNIERES;9 Boulevard Voltaire;92600;ASNIERES;01 47 93 16 02;01 47 90 23 86;30;15;12;;FAUX;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;"M�tro Ligne 13 direction : Asnieres Gennevilliers 
Jusqu'� l'arr�t Gabriel Peri 
Prendre la direction Nord-Est sur Rue d'Alembert ,Tourner � droite sur Rue des Bas
Arriv�e sur Rue des Bas,Contourner par la droite,Arriv�e sur Boulevard Voltaire";
AUX TROIS RUES;90  Rue de la Crois Nivert;75015;PARIS;01 47 37 73 33;01 47 37 73 33;15;30;45;;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;;
RESIDENCE PICHET D'ETAIN;158 Grande Rue;93250;VILLEMOMBLE;01 49 35 18 75;01 49 35 18 75;42;56;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;
LES VOYAGEURS;2 BOULEVARD DE LA REPUBLIQUE;93130;NOISY LE SEC;01 48 43 76 47;01 42 71 83 00;16;32;48;;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;RER E NOISY LE SEC TERMINUS EN FACE DE LA GARE A 50 Metres;
RESIDENCE ESPOIR CLICHY;09 rue Henri Barbusse;92110;CLICHY;01 47 93 16 02;01 47 90 23 86;30;15;12;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"SNCF Saint Lazare Ligne L direction Nanterre Universit�
Jusqu'� l'arr�t : Clichy Levallois
Puis 7 min � pieds";
HOTEL MK;1 AVENUE GALLIENI;93130;NOISY LE SEC;;09 57 31 80 64;13,333;26,66;12,905;25,81;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;RER E NOISY LE SEC TERMINUS;
H�tel de la Poste;39 rue gallieni;92600;ASNI�RES SUR SEINE;01 47 93 56 11;01 47 93 76 65;28;14;14;;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;Arr�t SNCF Asni�res Sur Seine ou 5mn de la gare de st lazare avec le transcilien ou bus 175 arret mairie asniere;
DU CARRE;525 AVENUE ANDRE AMPERE;77550;MOISSY CRAMAYEL;01 64 88 79 01;01 64 43 84 49;30;34,98;0;0;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;RER D ARRET LIEU SAINT MOISSY;contact@hotelducarre.fr
ETAP VIRY CHATILLON;39-42 AVENUE DU PRESIDENT KENNEDY;91170;VIRY CHATILLON;08 92 68 31 96;01 69 44 21 04;42;14;10;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;RER C VITY CHATILLON BUS DM05 DIRECTION HOPITAL HENRI MAHNES ARRET: POIRIER PICQUET;
ESCALE;15 RUE PIERRE ET MARIE CURIE;91550;PARAY VIEILLE POSTE;01 69 38 60 56;01 69 38 13 23;30;32;15;;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;RER C STATION JUVISY ENSUITE PRENDRE LE BUS 285 Arr�t: Aristide Briand;
RESIDENCE MAGISTERE;98-100 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;94000;CRETEIL;01 49 81 13 13;01 49 81 13 14;60;39;15;13;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;RER D OU METRO LIGNE 8 DIRECTION: CRETEIL PREFECTURE (HOTEL DE VILLE) Arret : Maison ALFORT LES JULIOTTES;
HOTEL PANIER FLEURI;2 AVENUE DE BRY;94170;LE PERREUX SUR MARNE;07 87 20 33 12;01 48 66 15 71;30;15;0;0;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;"<div>RER E ARRET NOGENT LE PERREUX PUIS 09 MINUTES A PIED OU PRENDRE LE BUS 120 EN DIRECTION DE mairie de Noisy Le Grand jusqu'� LES PARCLAIRS OU PRENDRE LE BUS 317 DIRECTION HOTEL DE VILLE DE CRETEIL JUSQU'� L'ARRET VIADUC. </div>

<div>&nbsp;</div>";"Ancien contact 07 69 86 99 05
06 71 99 05 58 MR IDIR Omar omar-idir@hotmail.fr
07 87 20 33 12 MR IDIR ISMAIL : is-idir@hotmail.fr ( mail perso )"
HOTEL SPORTING;51 RUE PIERRE ET MARIE CURIE;91170;VIRY CHATILLON;01 69 24 17 68;01 69 56 00 64;29;14,5;0;0;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;"RER C DIRECTION SAINT MARTIN D'ETAMPES ARRET : JUVISY SUR ORGE
BUS : DM03 DIRECTION VICTOR SCHOELCHER ARRET CAFE DES SPORTS (3�me station apr�s la gare)";
OASIS VILLENEUVE;27 RUE EMILE ZOLA;94190;VILLENEUVE SAINT GEORGES;01 43 89 06 79;;26;39;52;;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;RER D DIRECTION CORBEIL ESSONES ARRET VILLENEUVE SAINT GEORGES;
HOTEL GREEN;18 AVENUE RABELAIS;94120;FONTENAY SOUS BOIS;01 48 76 21 98;01 48 76 25 96;31,3;15,65;0;0;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;RER A DIRECTION NOISY LE GRAND MONT D'EST  ARRET: VAL DE FONTENAY;
AGIL;4-6 AVENUE PAUL VAILLANT COUTURIER;91550;PARAY VIEILLE POSTE;01 60 48 77 00;01 60 48 41 70;15;30;45;;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;RER C ARRET JUVISY SUR ORGE BUS 285 ARRET: Paray VEILLE POSTE CENTRE COMMERCIAL;
AMBIANCE;8 RUE ANDRE CITROEN;94510;LA QUEUE EN BRIE;01 45 94 08 08;01 45 94 11 93;14;28;84;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
RESIDENCE ANATOLE;80 AVENUE ANATOLE France;94400;VITRY SUR SEINE;01 49 61 78 10;09 74 44 54 53;28;42;56;98;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"ligne 8 Direction Balard jusqu'� Libert�
Correspondance Liberte metro bus ratp 180: Direction Louis Aragon jusqu'� Port � l'Anglais
Allez jusqu'� 80 avenue Anatole France";
FORMULE 1 EPINAY SUR ORGE;1 C RUE CHARAINTRU;91360;EPINAY SUR ORGE;08 91 70 52 43;01 69 34 58 33;16;29;0;;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;RER C ARRET PETIT VAUX;
RESIDENCE POMMIER;60 RUE POMMIERS;93500;PANTIN;;;42;56;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;"BUS 61 DE LA PORTE DES LILAS DIRECTION EGLISE DE PANTIN
ARRET JEAN JAURES A L'ANGLE DE LA RUE DANTON
BUS 249 ARRET LES POMMIERS";
TROIX RUES;90 RUE DE LA CROIX NIVERT;75015;PARIS;01 47 37 73 33;01 70 71 94 95;30;15;0;;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;METRO 8 COMMERCE;
ETAP ANTONY;11 RUE MARCELIN BERTHELOT Z.I DU VAULORIN;92160;ANTONY;08 92 68 07 82;01 46 66 66 09;17;16;0;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
PREMIERE CLASSE MAUREPAS;RUE GALOIS;78310;MAUREPAS;01 30 50 78 83;01 30 62 63 52;48;0;0;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
SAINT MAURICE;56 ter avenue du marechal de lattre de tassigny;94410;SAINT MAURICE;01 43 68 00 22;01 43 68 77 34;15;30;10;13,75;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;metro ligne 8: station charenton �cole� 400 m de l'h�tel;
HOTEL RELAIS DU PLESSIS;2,RUE Clement ADER;94420;LE PLESSIS TREVISE;01 45 76 65 69;01 45 76 73 90;30;15;0;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;"Arr�t de BUS � l'angle de l'accommodation.
BUS : 207 et 209  /  Arr�t : Coll�ge Albert CAMUS - ZA PONROY.

RER E / station : Villiers-sur-Marne-Plessis-Trevise, ensuite BUS 207 (direction : Hopital de la Queue-en-Brie)  Arr�t : Coll�ge Albert Camus - ZA Ponroy.

Compl�ment Informations :
BUS 206 : EMERAINVILLE-PONTAULT-COMBO RER / NOISY-LE-GRAND MONT D'EST RER.
Arr�t : Jean Kiffer (5 mn de marche)
BUS 207 : H�pital de la QUEUE-EN-BRIE / NOISY-LE-GRAND MONT D'EST RER.
BUS 208.b : CHAMPIGNY SAINT-MAUR RER / PLACE DE VERDUN 
Arr�t : Coll�ge Albert Camus - ZA Ponroy (� l'angle de l'h�tel)";
RESIDENCE ESPOIR PARIS 17;26 rue LANTIEZ;75017;PARIS;01 47 93 16 02;01 47 90 23 86;30;15;12;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"M�tro Ligne 13 direction Saint Denis Universit�
Jusqu'� l'arr�t : Guy Moquet 
Puis 7 mins � pieds";
PIERRE LOTTI;110 Avenue de la R�publique;91420;MORANGIS;01 69 09 09 97;01 69 10 00 72;28;0;0;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;;
F1 AIX EN PROVENCE;RN7;13590;LE CANET DE MEYREUIL;08 91 70 51 55;04 42 58 69 43;32;0;0;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;;
LE SIROCCO;6 AV HENRI BARBUSSE;93700;DRANCY;01 48 95 29 65;01 48 30 23 88;15;30;45;60;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;"<div>L'Etablissement est situ� : </div>

<div>- � 10mn (pied) de l'arr�t TRAM 1 : GASTON ROULREAU</div>

<div>- � 15mn (pied) de la station du Metro ligne 5 : BOBIGNY PABLO PICASSO</div>

<div>- � 5 mn (pied) de la station du BUS 251 : Le LIMITES</div>

<div>&nbsp;</div>";
RESIDENCE GRIGNY;3 SQUARE SURCOUF;91350;GRIGNY;01 45 94 61 61;01 45 93 32 69;14;0;0;;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;;
RELAIS PINCEVENT;13/15 AVENUE DE L'HIPPODROME;94510;LA QUEUE EN BRIE;01 45 94 61 61;01 45 93 32 69;64;48;16;;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;;
HOTEL OKSAR;47 RUE DE PARIS;92110;CLICHY;01 47 93 56 11;01 47 93 76 65;15;30;45;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;;
HOTEL AU BON ACCUEIL;3 RUE MAURICE COUDERCHET;94200;IVRY SUR SEINE;01 46 72 09 18;09 58 40 15 65;17,5;16,5;0;;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;"BUS 125 direction Ecole Veterinaire de Maison-Alfort
Arret : MOISE-P, Galais, marche jusqu'� au 3 rue Maurice Couderchet

BUS 323 direction Ivry S/Seine Gambetta
de Hotel de Ville 
Arret : Insurrection d'Aout 1944, marche jusqu'au 3 rue Maurice Couderchet";Hotel ferme le 30 mai 2014
HOTEL MICHELET;97, Boulevard MICHELET;93130;NOISY LE SEC;01 48 48 28 61;;13,333;26,66;12,905;25,81;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;RER E : STATION GARE DE NOISY LE SEC;"POSSIBILITE D'AMENER FRIGO ET MICRO ONDE

Tel MALIK locataire : 07 68 87 37 40 
Malik : 06 52 66 56 99"
RESIDENCE SUN IMMO;2, rue des CITES;93300;AUBERVILLIERS;06 64 14 43 38;;14;0;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"Prendre le Tram 3b direction porte de la chapelle
jusqu�� l'arret porte de la villette - cit� des sciences et de l'industrie
puis 7 min a pieds";M. Souni propri�taire
SCI LHF;78, av President ROOSEVELT;93360;NEUILLY PLAISANCE;;;25;12,5;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;RER A  : Arret NEUILLY/PLAISANCE;
HOTEL CHLOROPHYLLE;63, AV Aristide BRIAND;94110;ARCUEIL;01 49 12 01 01;01 49 12 01 02;18,05;14,25;0;;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"RER B : Arret LAPLACE
5 min de marche � pied";"monsieur Kajan 
Le responsable est en cong�"
HOTEL LE GOURAYA;84 AVENUE VICTOR HUGO;93360;NEUILLY PLAISANCE;06 16 58 81 95;01 49 35 18 75;14;0;0;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;;
B&B;RUE DE SAINT-LADRE;60000;ALLONNE;08 92 78 80 10;03 44 14 62 00;62;0;0;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
APPART CITY ALFORVILLE;2 rue Capitaine Alfred Dreyfus;94140;ALFORTVILLE;01 41 79 79 00;01 41 79 79 01;40;13,3333;16,6666;12,5;VRAI;FAUX;VRAI;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX;"rer D arr�t maison alfort /alforville rer
rer C arr�t Choisy Le Roi";
RESIDENCE IDFI;35 rue G�n�ral Leclerc;95210;SAINT GRATIEN;01 39 64 43 46;01 39 64 39 93;14,5;0;0;;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;;
SCI ODESSA;81 rue ODESSA;93000;BOBIGNY;01 48 30 16 55;;15;0;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;STUDIO TOUT EQUIPE
RESIDENCE CENGIZ CLICHY;15, rue Ferdinand BUISSON;92110;CLICHY;;01 40 25 02 00;0;0;0;;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;;
RESIDENCE MAYA TREMBLAY;9, rue de Picardie;93290;TREMBLAY EN FRANCE;;09 55 21 22 58;0;0;14,5;0;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"RER B Direction Mitry-Claye
arret VERT GALANT";"Num�ro a appeler durant l'absence de M. MAZIG 
LE 07 62 73 50 64 (MAZIG fils)
 06 51 86 16 99 (Miriem, sa fille)
Residence tremblay studio pour une personne"
HOTEL MUSSET;10 rue Alfred de Musset;92240;MALAKOFF;01 46 55 46 77;01 79 73 87 34;16;32;48;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;"Bus 126 en direction de Porte d'Orl�ans, arr�t Pierre Larousse
Bus 295 en direction de porte d'Orl�ans, arr�t 12 f�vrier 1934
Metro ligne 13 en direction de chatillon montrouge, arr�t Malakoff-Plateau de Vanves";Uniquement des chambres doubles
ABBAYE STAR;7 Boulevard Maurice Berteaux;94210;SAINT MAUR DES FOSSES;09 54 45 27 11;01 48 86 15 54;32;16;;;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"RER A DIRECTION BOISSY ST LEGER STATION : ST MAUR CRETEIL
A ST MAUR CRETEIL RER PRENDRE LE BUS soit(306,112,TVM 111)  EN DIRECTION LE PARVIS TERMINUS";
HOTEL VILLA 27;164 Avenue Jean Jaur�s;93500;PANTIN;01 48 45 05 04;01 48 91 87 95;16;32;48;;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;;"Chambres doubles : WC sur palier
Chambres triples : WC en chambre"
STAR HOTEL;17 BIS RUE JULES DAVID;93220;LES LILAS;06 68 52 55 46;01 43 63 59 05;32;16;0;;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;"METRO LIGNE 11 PORTE DES LILAS.
PRENDRE LE BUS 115 en direction du Ch�teau de vincennes 
ARRET: CHASSAGNOLE
remonter la rue des fr�res Flavien puis prendre � gauche rue jules david";
SCI NARSSAL;36, av du 11 Novembre;94170;LE PERREUX SUR MARNE;06 03 92 56 24;01 42 21 44 08;12,5;0;0;;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;RER E en direction de VILLIERS-SUR-MARNE : arret Nogent le Perreux S/Marne;
HOTEL PARMENTIER;3 rue Arthur Groussier;75010;PARIS;09 54 52 77 75;;0;0;0;;VRAI;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;VRAI;FAUX;M�tro L.11 : Goncourt;Il y a des chambres doubles et triples
LE MARIGNY;2,avenue du Pr�sideny Wilson;94450;LIMEIL BREVANNES;01 45 69 09 27;;16;14;32;17,12;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;
ETAP HOTEL VILLEMOMBLE;14/16, All�e du Plateau;93250;VILLEMOMBLE;08 92 68 05 71;01 48 12 22 17;43;0;0;;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;
HOTEL MUSEE DE L'AIR;10 avenue Normandie Niemen;93150;LE BLANC MESNIL;06 14 33 76 59;;30;16;15;;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;<div>RER B Bourget 152 mus�e de l'Air </div>;CHANGEMENT DE GERANT : Mr ALLICH
HOTEL LE MIDI;35 Rue Sebastien Mercier;75015;PARIS;09 62 17 77 11;09 62 17 77 11;15,645;31,29;32,33;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"ligne 10 direction Boulogne pont de st cloud station : javel andr� citr�en
DEPUIS JAVEL prendre le bus 62 en direct� de Biblioth�que Fran�ois Mitt�rand jusqu'� Convention Saint -Charles
Prendre la rue des Bergers puis � droite la rue s�bastien Mercier.";
RESIDENCE LE CH�TEAU;17, rue Louis VION;92600;ASNI�RES SUR SEINE;01 47 93 16 02;01 47 90 23 86;0;0;12;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"M�tro Ligne 13 : direction Asni�res Gennevilliers les Courtilles
Jusqu'� l'arr�t Gabriel Peri
Puis 8 min � pieds.";
RESIDENCE MAYA VAUJOURS;117, rue d'ALSACE;93410;VAUJOURS;;09 55 21 22 58;0;0;14,5;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"RER B DIRECTION a�roport CDG descendre arr�t Vert Galant prendre bus 642 descendre � la station Alsace

NABIL 0767735064";"appartement tout equipe
Num�ro a appeler durant l'absence de M. MAZIG 
LE 07 62 73 50 64
 06 51 86 16 99 : Miriem (Sa fille)
07 69 60 47 01 Fils MR MAZIG -"
HOTEL DE PARIS St-Denis;9 rue Daniel CASANOVA;93200;SAINT DENIS;01 48 20 07 54;01 48 20 17 83;30;15;0;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;Metro ligne 13 : arr�t St-Denis Porte de Paris;
